mora_60,dias_atraso_12_meses_antes,situacion_casa,edad,fecha_ingreso_empleo,antiguedad_tc_meses,producto_pasivo_12_meses_antes,ingreso_mensual,monto_linea_tc,monto_saldo_deudor_prom,score_aprob_tc,nro_veces_abono_12m_antes,zona_geografica,riesgos_sbs,nivel_educativo,edad_binned
0,0,FAMILIAR,38,2005-08-01,26,12,4500.0,866.76,0.0,197,5,Lima,0,PROFESIONAL,joven
0,1,FAMILIAR,28,2006-06-01,0,12,1450.38,3077.03,2007.64,175,12,Callao,3,TECNICO,joven
0,0,FAMILIAR,43,1999-10-01,0,12,1542.03,0.0,9633.36,197,12,Junin,0,TECNICO,adulto
0,0,FAMILIAR,42,1987-10-01,39,0,3300.0,19.5,53.01,199,0,Pasco,0,PROFESIONAL,adulto
0,0,PROPIA,47,2004-03-01,0,2,7586.26,0.0,0.0,199,0,Lambayeque,0,PROFESIONAL,adulto
0,1,FAMILIAR,40,1998-01-01,0,12,3290.22,4343.23,1739.58,197,11,Callao,1,TECNICO,joven
0,0,FAMILIAR,32,2007-11-12,14,12,2500.0,4942.55,7568.56,200,4,Lambayeque,1,PROFESIONAL,joven
0,2,FAMILIAR,29,2007-12-07,0,11,2800.0,3667.1,1810.3,200,7,Lima,1,SUPERIOR,joven
0,0,FAMILIAR,23,2007-01-01,10,12,2100.0,1100.0,1049.98,181,1,Cuzco,0,PROFESIONAL,joven
0,0,FAMILIAR,34,2004-11-01,35,12,1500.0,1084.9,2382.04,206,8,Lima,0,PROFESIONAL,joven
0,0,FAMILIAR,24,2005-06-01,9,12,3000.0,1654.49,704.89,176,12,Lima,1,PROFESIONAL,joven
0,0,FAMILIAR,26,2005-04-01,12,12,668.46,1990.0,1397.76,169,12,Callao,3,TECNICO,joven
0,1,PROPIA,26,2006-09-11,51,12,861.67,1906.63,2272.1,196,12,Lima,1,PROFESIONAL,joven
0,0,PROPIA,35,2005-11-07,0,12,834.25,0.0,3606.77,196,11,Ica,0,TECNICO,joven
0,0,FAMILIAR,21,2007-10-01,15,12,850.0,2600.0,5189.55,192,0,Lima,2,SUPERIOR,joven
0,0,FAMILIAR,28,2007-11-01,71,6,3544.79,8400.0,12981.97,194,2,Lambayeque,0,PROFESIONAL,joven
0,0,FAMILIAR,48,2005-05-01,81,4,6600.0,5415.88,0.0,175,4,Lima,0,PROFESIONAL,adulto
0,0,FAMILIAR,24,2005-03-01,0,12,1084.18,0.0,4420.64,182,12,Ica,0,TECNICO,joven
0,0,FAMILIAR,42,2005-08-01,13,11,2850.0,1433.22,438.09,205,7,Lima,0,PROFESIONAL,adulto
0,0,FAMILIAR,43,2007-02-01,0,12,2400.0,12936.95,4107.47,223,1,Lima,1,TECNICO,adulto
0,0,PROPIA,49,2000-01-01,44,3,30000.0,0.0,0.0,203,0,Lima,0,SIN EDUCACION,adulto
0,1,FAMILIAR,28,2007-09-07,0,12,1378.3,0.0,3415.59,172,12,Callao,0,PROFESIONAL,joven
0,2,FAMILIAR,49,2007-07-12,0,12,3152.38,0.0,3762.38,185,12,Lima,0,TECNICO,adulto
0,0,FAMILIAR,34,2008-09-01,0,12,1682.62,0.0,3513.41,201,12,Callao,0,TECNICO,joven
0,0,FAMILIAR,43,2001-02-01,21,12,3070.0,2659.3,3709.71,190,12,Lima,0,TECNICO,adulto
0,0,FAMILIAR,33,2004-11-16,0,12,2030.99,700.0,12051.69,177,11,Callao,0,TECNICO,joven
